texts,labels
ничего подобного до этого не читала и думаю никогда не прочтуволшебство окружает нас оно часть нашей жизни в романе нет ни одного лишнего слова все пронизано единой целью покорить навсегдана мой взгляд прочитать необходимохотя бы для того чтобы узнать что же такое этот магический реализм,10
вот это ничего себеклассика есть классика никогда не ожидала увидеть столько злобы в детских душах,9
никогда не поздно сойти с накатанной дородки ведущей к тихой безынтересной старости ведь решиться изменить себя стать героем своих же мечтаний очень просто,10
роман маргарет митчел приоткрывает нам дверь в американское общество времен гражданской войны войны севера и юга страшной войны ведь войны внутри страны самые страшные на фоне этих ужасных событий и разворачивается действие этого романа автор знакомит нас с очаровательной девушкой скарлетт охара забавная папина любимица которая всегда получает то что хочет а хочет она как любая 16ти летняя девушка наряды кавалеров и балы но как же меняется эта девочка к середине романа жизни преподносит ей кучу сюрпризов и к своим 28 годам она переживает столько горя и разочарований что любая другая на ее месте уже сломалась бы и это особенность скарлет умение выстоять и выжить да еще чегото добиться в этой жизни пусть и не всегда честным путем с другой стороны ее избалованность не редко и приводила ее к тем ситуациям в которых она оказывалась сколько боли и горя она причинила своими выходками любимым людям но как говорится тот кто без греха путь первым кинет в меня камнем иногда даже возникает стойкое ощущение что охара собирательный образ каждая девушка читая роман может увидеть себя и отражение своих поступков и мыслей каждая узнает себя в той или иной ситуации и это будет верно ведь образ скарлет это все то женское что может быть да мы капризные в некоторой степени расчетливы кто в большей кто в меньшей любим чувствовать сильное плечо черпать в нем силы а если жизнь ставит нам ультиматум мы из нежного существа способны превратиться в исщядье ада и в этом все мы женщины скарлет охара покорительница америки уже давно вышла из книги и живет среди обычных людей ее не возможно не полюбить она прекрасна хотя надо заметить что скарлет литературная и та которую нам показала вивьен ли отличаются друг от друга у вивьен она получилась более мягкая чем на самом деле хотя видя как приняли читатели скарлет митчел немного расстоилась а попытки репортеров расспросить не списана ли ее героиня с нее самой привели ее в ярость скарлет проститутка я нет сказала митчел и добавила что считает скверным тот факт что из скарлет сделали чтото вроде национальной героини и все же она очень любила свою мисс скарлет пусть и отпечатались в ней черты наступившей эпохи пусть не смогла она им противостоять усваивая худшее но она была любима многими читателями и в чем то мы хотели на нее походить есть в ней чтото притягивающее как для мужчин так и для женщин безумно жалко что роман обрывается остается какоето ощущение недосказанности неизвестно куда бы пошла дальше митчел не оборви ее жизнь пьяный таксист в 1949 году как видела она судьбы своих героев мы не узнаем уже никогда но всегда приятно помечтать на эту тему,10
в лет 12 дочитала захлопнула с громким стуком несчасную распадающуюся книгу и рыдая заливаясь слезами спотыкаясь об углы бо ниче не видела побежала докладывать маме что это ужасно плохая книги что я ее больше никогда читать не буду и что это вобще все неправильно и чего она мне ее подсунула потом на пару часов залезла под одеяло и предалась горькм рыданиям и еще пару дней снились кошмары из чего могу извлечь что книга потрясающая я вобще питаю слабость к таким вот проблемам чести любви и безисходства,9
оружие возмездия это очень грустная книга читая её я улыбнулся только дватри раза и не изза того что кто служил в армии в цирке не смеётся в армии я никогда не служил это книга о сегодняшней армии о проржавевшем механизме который никуда не поедет но упав может и придавить читал с интересом и огромной жалостью ко всем военным в нашей стране в аннотации сказано лишний раз убедитесь что служили не зря на что я отвечу последними словами из книги ну его на хрен ребята,8
никогда не думал что среди несомненно колоритных но все же рассчитанных на большого любителя произведений гоголя смогу встретить подобное это отечественный портрет дориана грэя а может и лучше даже здесь и присущий гоголю натурализм и мистика и интрига и еще многомного чего потрясающее произведение читать всем,10
никогда не думал что меня сможет так увлечь по сути женский любовный роман феерическое произведение с незамысловатым но от этого не менее прекрасным сюжетом история трагическая как сама любовь и трогательная как портрет главной героини читать всем,10
книга произвела на меня сильное впечатление читалась легко запахи запахи чувствовала явно никогда не думала что вот так вот простыми словами можно передать столько ощущений столько запахов вызывающих отвращение и удивляющих обалденная книга считаю что каждый должен эту книгу прочесть,10
красивый и грустный роман напоминающий о том что ложь тянет за собой множество неприятностей и никогда никого не делала счастливым,7
читала около года назад начало конечно немного затянуто но дальше идёт очень увлекательный сюжет мне кажется что большинство называет эту книгу любимой именно за этот увлекательный сюжет хотя полностью не понимают что хотел сказать автор а ведь это самое главное понять ту мысль которую хотел передать нам фаулз трудно сказать тем более что читала не так уж и недавно концовка ничего не даёт понять надеюсь он всё таки не остался с алисон уж больно она мне не нравилась один мой знакомый сказал что она его идеал женщины мне этого наверно никогда не понять ветренная девушка ничего в ней особенного нет она полностью отдаётся ему и душой и телом в этом её заслуга но для этого большого ума не нужно нужно сердце да оно у неё есть но разве этого достаточно он же её не любит если есть хоть капля сомнения а у героя сомнений далеко не капля то это не любовь быть может я ничего не смыслю в жизни мне 20 но таково моё мнение и мне кажется будто все эти игры которые устраивал кончис были для того чтобы усмирить эго героя ох забыла его имя кажется николас опустить его как можно ниже помоему чем ниже опускается человек тем больше он затем очищается но удалось ли это герою а вы что думаете что хотел сказать нам автор хотелось бы услышать реальные мысли а не только восхищения типа гениальная книга всем прочитать если для вас она гениальна то чем уверенна автор хотел дать нам нечто большее чем замысловатый сюжет,9
когда начинала читать серию лет цать назад была в полном восторге с каждой книгой восторг утихал последнюю прочитала даже не по энерции даже не интересно было узнать чем все кончилось просто закончило нудное и постылое дело больше этого автора читать не буду никогда и ни за что,1
на самом деле такие книги нельзя оценивать да и какое право есть на это у нас здоровых физически людей эта книга о детстве инвалида проведенном в нечеловеческих условиях где каждый прожитый день приравнивается подвигу где мир такого ребенка складывается из равнодушных и обыденных взглядов других полноценных посторонних людей и осознания того что завтра может и не наступить а если оно и наступит что изменится перед ним мир упущенных возможностей которыми он никогда не сможет воспользовться но вместе с тем непоколебимая вера в себя и оптимизм который проскальзывает из этих наполненных серым трагизмом строк действительно белым по черному,9
книга оставляет неприятный осадок да главные герои живы здоровы главный плохой парень повержен однако эта книга не детская сказочка читать ее перед сном категорически противопоказано особенно детям слишком много смерти горя жестокости хотя надо отдать должное таланту ро читая книгу переживаешь все те ужасы и тяготы которые выпали на долю героев волшебный мир придуманный ро становится более реальным и значимым чем мир в котором мы живем в действительности к примеру я не могла сдержать слез когда умирал снейп мне было горько и больно будто я потеряла близкого друга мне было больно даже не смотря на то что у меня уже после прочтения первой книги ро появилось предчувствие гибели этого героя его смерть оправдана по другому быть не могло но как объяснить свирепство ро по отношению к другим персонажам никогда не прощу ей убийство букли и домовика добби а фред а люпин и тонкс книга ошеломляет единственный вопрос который возникает закрывая последнюю страницу за что ответа нет и тишина,10
написано талантливо нагоняет жути никогда перечитывать не буду,9
никогда не понимала за что кинга люди любят в моей библиотеке эта книжка на одной полке с зюскиндом много непонятного с претензиями но у зюскинда хотя бы сюжет есть а в этой книге 600 страниц описывается непонятно что,4
психологически и художественно книга написана на самом высоком уровне чувствуется влияние кастанеды решение кого выбрать в ученики принимается не на человеческом уровне сойти с тропы обучения можно только ценой собственной жизни преподаватели или уже не люди или никогда ими не были и тд вот только философская концепция романа весь мир текст на мой взгляд слишком банальна и узнаваема эта идея витгенштейна беньямина и деррида но развить идеи кастанеды без практик описанных им невозможно а вопрос о том кто может быть воином те человеком который в принципе способен овладеть этими практиками решается не на человеческом уровне,10
серьезный духовный поиск никогда не окажется бесплодным пускай результат будет совершенно неожиданным варан пытается получить ответы на проклятые вопросы как он бродячая искра выбирает дома где зажечь огонь и где сложить печку и почему люди умирают и куда они уходят после смерти и почему время нельзя повернуть или остановить хотя бы на минуту и сам в какойто степени становится ответом для своего мира мир благодаря духовной жажде варана стал чуточку иным оказывается духовная жажда это реальная сила преображающая обыденную действительность,10
никогда не предпологала что мне будет интересно читать психологические драмы но к моему удивлению книга мне понравилась но никак не могу понять что подразумевает под собой название кукла холодность и бездушность бэллы или её отношение к вокульскому как к вещи,8
никогда в жизни не читала ничего более нудного,2
я никогда не ругаюсь матом спросите у моих друзей а теперь реакция на эту книгу блять блять блять,6
паланик автор который заставляет мой мозг работать не как всегда настолько неожиданные развязки концовки и всегда задеты актуальные темы или грани моего сознание такие о которых я никогда и не задумывалась книгу прочитала до того как посмотрела фильм о чем ни грамма не сожалею осталась в полном восторге но реальность долго воспринимала по другому под впечатлением советую всем,10
заинтресовался так называемым русским фэнтези после волкодава очень достойная книга потом пробовал читать других авторов не пошло но здесь был приятно удивлен так как купил книгу только по совету друзей и получил огромное удовольствие от прочтения совершенно потрясающее погружение в мир не знаю как это автору удается но нету ни малейшего налета сказочности такое ощущение что в те времена так и было невероятно я словно сам прожил эту жизнь в общем для тех кто как и я никогда не сталкивался с товрчеством этого автора ранее хочется сказать не проходите мимо а судя по отсутствию здесь отзывов да и оценок мимо прошли очень многие с уважениемlodard,10
великолепная книга не только для детей но и для взрослых которую никогда не поздно прочитать можно читать не один раз каждый раз читая открывать для себя чтото новое,9
к 125летию со дня смерти испанского художника франсиско гойи фейхтвангер написал роман гойя или тяжкий путь познания над гойей писатель работал около трех лет по словам томаса манна это была неустанная непрерывная деятельность тщательное изучение источников и литературы об испании конца xviii в записок путешественников с приводимыми в них популярными в последнее десятилетие века куплетами и пьесами силантьева ою фейхтвангер отмечал в одном из своих писем издателю что о гойе и истории испании тех лет написано исключительно много я думаю писал он что самое необходимое я использовал в этом романе лион фейхтвангер обращается к жанру художественной биографии в центре романа великий испанский художник гойя писатель исследует всего пять лет жизни великого испанца 1793 1798 но в эти пять лет вместились важнейшие события как в истории испании так и в личной жизни художника это произведение роман до сих пор не имеющий равных среди десятков произведений посвящённых жизни и творчеству франсиско гойи роман в котором причудливо и изысканно переплетены история и вымысел проза и безупречная стилизация испанского романсеро роман повествующий не только о неизвестных страницах судьбы гойи но и приоткрывающий современному читателю тайны его души испания этого периода раздираема метаниями между совершенно полярными тенденциями в устройстве государства с одной стороны существуют попытки реформаторской деятельности исходящие от прогрессивного круга испанских либералов ховельянтос поэт кинтана гуманист и либерал эстеве и другие с другой стороны еще очень сильна власть инквизиции то и дело случаются аутодафе налагается veto на печатные издания и произведения искусства тяжелое положение испании в эти годы усугубляется постоянным страхом перед возможностью войны сначала с республиканской затем с наполеоновской францией поэтому практически вся политика испании того периода продиктована французской дипломатией для гойи это означает постоянную необходимость выбора с одной стороны официально он является первым королевским живописцем вполне симпатизирующим лично каждому из членов королевской семьи с другой стороны его лучшие друзья испанские вольнодумцы часто вступающие в противоречие с испанским двором а еще чаще с испанской инквизицией личная жизнь гойи за эти годы вместила в себя много обретений но и много утрат он прошел путь от придворного до первого королевского живописца занял пост президента академии художеств испании в этот период жизни он потерял сначала дочь затем мать сына и жену друга детства именно эти годы совпали с бурным романом гойи с герцогиней каэтаной альба давшим художнику сильный толчок творческой энергии а миру его замечательные полотна но даже этот роман закончился трагически смертью каэтаны несмотря на то что фейхтвангер описывает всего пять лет жизни художника через многочисленные ретроспекции мы узнаем всю его жизнь и становится ясен подзаголовок романа гойя или тяжкий путь познания жизненный путь гойи пролег более чем через восемь десятилетий исполненных тяжкого профессионального труда стремления к совершенству глубоких личных страданий страшных недугов один из которых был глухота длившаяся последние тридцать три года его жизни напряженная работа души поиск правды высокой истины искусства не покидали гойю всю его жизнь но обращение фейхтвангером конкретно к этому пятилетнему периоду биографии художника продиктовано тем что именно в это время сформировалась активная гражданская позиция гойи который изначально отрицал причастность своего искусства к политике и социальным явлениям и упорно сопротивлялся попыткам друзей вовлечь его в общественную жизнь в конечном же итоге мы видим в гойе автора острого по политическому и социальному звучанию цикла гравюр капричос ставшего памфлетом история его собственной жизни отраженная в капричос эта фантасмагория любви славы счастья и разочарований приобретала истинный свой смысл становилась историей каждого испанца историей испании пишет автор более поздние произведения гойи бедствия войны восстание 2 мая 1808 года в мадриде расстрел повстанцев в ночь на 3 мая 1808 года подтверждают что он до конца жизни остался верным избранным гражданским принципам выбор фейхтвангером в качестве героя своего произведения испанского художника гойи не случаен роман увидел свет в 1952 году за спиной фейхтвангера выходца из баварской довоенной буржуазии буря первой мировой войны крушение империалистической германии зарождение и укрепление нацизма и весь ужас второй мировой войны в эпохе гойи он улавливает резонанс своему смутному времени надвигающиеся ужасы леденят кровь своей масштабностью перекрывая пороки прошлого которые в новой системе отсчета времени кажутся детскими будь то испанская инквизиция в сравнении с чудовищной кровью французского террора или деспотичная кайзеровская германия перед страшным лицом фашизма сам же фейхтвангер прошел подобно гойе путь от эстетствующего художника до активного борца за непреходящие гуманистические ценности в центре его творчества всегда оставались самые переломные моменты истории когда решались судьбы человечества фейхтвангер изображает в своем романе очень широкую картину социальной борьбы тех лет участие испанской монархии в коалициях против революционной франции термидорианское перерождение французской революции рост буржуазной оппозиции испанской монархии испанских либералов с которыми сталкивается гойя писатель характеризует в обычной для себя манере как людей несколько узковатых и педантичных но и в речах обращенных к гойе заключен истина несмотря на то что гойю отвращает их суровая добродетель он не может не считаться с тем что либеральные реформаторы требующие от него участия в политической борьбе выражают веление времени фейхтвангер стремится доказать что бунтующая и скорбная исполненная сострадания человечность искусства гойи более широка нежели догматизм либеральных политических деятелей но без их влияния гойя не сложился бы в передового художника понявшего что сила искусства в его народности эта мысль является самой ценной в романе гойя выдержал все жизненные испытания только потому что он никогда не порывал связей с народом от него исходит все ценное что создал художник к нему обращено его искусство гойя ненавидящий старый мир однако не присоединяется полностью к просветительской идеологии он народный живописец испании идет своим путем утверждая новые идеи но посвоему он знает что его живопись оказывает действенное влияние на умы и души современников возможно что это влияние будет медленнее изменять жизнь но содержание его творчества совпадает с неуклонным движением прогресса пережив крушение надежд рожденных французской революцией познав сильное и слабое в человеке любя его гойя приходит к познанию высшей мудрости изменить мир можно лишь постепенно внедряя в сознание народа передовые мысли которые в конце концов победят бесчеловечное в человеке роман гойя или тяжкий путь познания 1952 мрачноблист ательное гигантское полотно т манн рисующее на фоне исторических процессов времени борьбы испанской монархии против революционной франции растущей оппозиции феодальной реакции усиления инквизиции развития европы в период термидорианского перерождения революции историю рождения великого художника в сопротивлении умирающему миру под влиянием революции и народа в задуманном но не осуществленном втором томе художник должен был участвовать в революционных событиях после 1808 года пережить ужасы войны оказаться в изгнании гойя познает что художественное дарование в единстве с политической страстью могло достичь самого высокого чего может достичь человек жизненная сила цельность несгибаемость неистовство страстей независимый нрав гойи махо крестьянског о парня из арагона его художественный гений противостоят придворному миру ведут к разрыву с ним к возвращению к народу как художник он становится представителем испанского народа символом революционного искусства но могла ли называться эта живопись крамольной содержался ли в ней вызов алтарю и трону тщетно было здесь искать прямое возмущение но эти небольшие зарисовки были громче прокламаций пострашней чем речь трибуна перевод л гинзбурга особенностью построения произведения является то что каждая глава заканчивается белыми стихами в строках которых содержится идея данной главы и своеобразный вывод из нее эти строки своеобразное лирическое повествование событий романа стилизованное под традиционное испанское романсеро дарят читателю своеобразную атмосферу прошлого фейхтвангером задумывалась еще одна книга посвященная художнику начинание это свершить он не успел но впереди было еще два прекрасных романа и о сюжете одного из них мы знаем из романса исполненного пепой для гойи и дона мануэля в парадных покоях эскуриала убивался дон альфонсо плакал о своей ракели ах прекрасную еврейку у меня отнять посмели,8
детектив очень слабенький перечитывать такой никогда не будешь,1
очень трогательная книга о войне такие произведения никогда не забываются,9
отличная книга и в плане развлекательного чтива и в плане расширения кругозора будучи человеком необразованным по части физики никогда не мог понять почему улетевшие в космос на 2 года возвращаются обратно на землю где прошло уже 5070 лет собственно не понимаю и сейчас почему так должно происходить но по крайней мере теперь смутно представляю при каких условиях проявляется это проскальзывание времени интересная исходная предпосылка о телепатической связи между близнецами отличный язык и неплохой сюжет ктото может назвать сюжет линейным и тем не менее мое мнение что книга тянет на твердую девятку,9
просто отлично но тем кто в компах разбирается плохо и никогда не играл в перечисленные игры тяжеловато придется хотя кто знает может книга и подтолкнет на геймерство философия героя конечно спорная но само произведение просто обалденное а уж конец это чтото с чемто никитин одним словом,10
что интересно никогда не встречала равнодушных к этому шедевру либо очень не нравится либо лучшая книга вот так,9
догадываюсь что это странно переведённое название northern lights то ли переводчик никогда не слышал про северное сияние то ли переводил компьютер,9
это моя настольная книга немного романтики немного иронии быта английской провинции и все совершенно без пошлости пафоса и сопливого идиотизма женских романов яркий пример того что меняются времена но не люди поэтому эта книга всегда современна и никогда не устаешь ее читать и перечитывать,10
надеюсь описанное в романе никогда не случится с человечеством в целом подействовала на меня угнетающе,7
не поставила отлично лишь потому что не смогла бы никогда перечитать слишком страшно,8
мое самое любимое произведение ничего лучше никогда не читала и возможно не прочитаю хотя начала читать именно потому что моя подруга дала этому роману очень негативную оценку сказала что читать такое невозможно я решила попробовать ради интереса и роман захватил меня с первой же страницы не могу объяснить выразить почему он мне так понравился но думаю еще не раз с удовольствием перечитаю,10
одну из своих книг кинг назвал просто по имени главного персонажа пса куджо один из переводчиков сделал ей другое название бешенство и всегото сюжета бешенство огромного сенбернара приводит к гибели четырёх человек один из них маленький ребёнок почему так произошло что это божий суд и за что задаётся вопросами измученная женщина третьи сутки заточённая вместе с четырёхлетним сыном в раскалённом от летней жары автомобиле около которого дежурит обезумевший пёс хотя ответ казалось бы ей должен быть очевиден ее собственная супружеская измена не далее как накануне страшным прессом обрушилась на их семью мы часто задаемся этим излюбленным вопросом за что но будем честны сами с собой всегда есть за что и если бы за всё что творим мы получали бы то что заслужили все наши нынешние страдания и невзгоды заодно с землёй и с небом показались бы нам с овчинку и наш грех обрушивается не только на нас но и на наших близких и на самых беззащитных и на самых маленьких за что да в томто и дело что непосредственно ни за что равви кто согрешил он или родители его что родился слепым не согрешил ни он ни родители его но чтобы на нём явились дела божии евангелие от иоанна 923 но дела божьи слава его совершаясь над нами могут оказаться для нас тяжелейшим испытанием иов испытал это на себе сполна донна трентон видит перед собой сквозь окно автомобиля ужасного монстра который гипнотизирует её в глазах которого она читает хладнокровный и бесстрастный приговор себе и своему сыну чудовище не уйдёт пока не добьётся своего в отчаянии и маленький тэд слова от монстров которые написал ему папа чтобы мальчик не боялся оставаться ночью один в темноте не действуют и они с мамой одни рядом с чудовищем из ночных кошмаров я его ненавижу говорит он хочу чтобы он сдох а куджо наблюдает за ними через лобовое стекло и донне кажется что она отчётливо слышит его мысли я до вас доберусь крошки мои но вот писатель делает то что в его власти помогает нам увидеть мир глазами пса и в этом взгляде мучение и боль болезнь разрушала его нервную систему как степной пожар и уничтожала его привычные мысли и ощущения в бреду куджо кажется что он нашёл виновника всего случившегося с ним зла эта женщина за стеклом автомобиля смотрит на него и словно говорит да да это я заставила тебя заболеть я сделала тебе больно я загнала тебе боль в голову и в лапы и в мышцы о убить её убить сразу же после грехопадения в эдеме первые люди спешно сделали себе одежду чтобы прикрыть наготу от стыда скорее от страха обнажённость в гораздо большей степени знак беззащитности чем чувственности теперь когда был нарушен один запрет каждый мог ожидать от каждого чего угодно так возник тот самый экзистенциальный барьер между мной и другим который замыкает нас в тюрьму нашей собственной личности фёдор михайлович здравствуйте и именно это одиночество в себе и порождает чудовищ монстр куджо оказывается несчастным страдающим существом обезумевшим от муки к тому же расплачивающимся не за свою а за нашу греховность две пары глаз смотрят друг на друга и видят каждый чудовищного врага это болезнь наваждение рок и кто в этом виноват каждый мы все совокупно и может быть никто в данной конкретной ситуации мир таков каковы мы живущие в нём мир идёт своими путями и грех убивает и уничтожает не только тех кто непосредственно его совершает и здесь не помочь заклинаниями чем бы они ни были психологическим приёмом для успокоения или реальной попыткой повелевать сущностями мира здесь нужны иные слова жизнь не сказка она страшнее и честнее чудовищна гибель в зубах бешеного зверя чудовищна смерть ребёнка от изнеможения и жажды в запертом автомобильном салоне но в мире не знающем любви всё заканчивается смертью думаете ли что те восемнадцать человек на которых упала башня силоамская и побила их виновнее были всех живущих в иерусалиме нет говорю вам но если не покаетесь все так же погибнете евангелие от луки 1345 и наоборот для тех кто подвластен любви со смертью всё только начинается и тут на смену вечному вопросу кто виноват приходит другой не менее вечный что делать можно ли чтото изменить в ситуации из которой нет выхода из всех людей кто встретился с куджо после того как он взбесился уцелел только один мальчик бретт его хозяин он искал пса рано утром перед тем как уехать с мамой к родственникам куджо вышел к нему навстречу уже в кошмарном состоянии то что он видел было двуногим монстром в голове его тупо вращались мысли об убийстве но убийство не состоялось и вот причина монстр заговорил и куджо узнал его голос это же мальчик его мальчик который никогда не обижал его он всё ещё любил мальчика и готов был умереть за него одного звука его голоса осталось достаточно чтобы образы убийства растаяли добавить тут нечего всё покрывает всему верит всего надеется всё переносит 1е послание к коринфянам 137 главное что остаётся после этой книги чувство сострадания ко всем больше всего к куджо финальные слова романа есть и у собак свой рай и он ушёл туда это о нём или о кэрри уайт и ещё к маленькому кролику которого пёс загнал в маленькую пещеру в которой его и укусила бешеная летучая мышь кролик не смог выбраться и умер медленной мучительной смертью его кости смешались с костями других маленьких животных имевших несчастье попасть туда и к маленькому тэду умершему точно так же так и не сумевшему выбраться из замкнутого пространства запертого автомобильного салона и ещё ощущение надежды восходящее над всей этой безнадёгой пока ещё только ощущение это книга о повседневности совершающегося суда о том как на суд не приходят кинг рассказывает в других своих романах,10
